id_estacion,Dirección,Código postal,Latitud,Longitud,Tipo,Rótulo,Tipo venta,Rem.,Margen,id_localidad
130,DIQUE NORTE BOCANA DARSENA INTERIOR ,46024,39.461306,-0.312278,maritima,REPSOL ,Suministro a barcos deportivos o de recreo,dm,A,4049
131,CAMINO DE CANAL 91 - CLUB NAUTICO DE VALENCIA,46024,39.429917,-0.330722,maritima,EXCLUSIVAS BAYMAR S.A.,Suministro a barcos deportivos o de recreo,dm,A,4049
132,AVENIDA CASTILLA LA MANCHA 26,2250,39.211417,-1.539167,terrestre,Nº 10.935,P,dm,D,1
133,CR CM-332 464,2152,39.100389,-1.346083,terrestre,REPSOL,P,dm,I,2
134,AVENIDA 1º DE MAYO S/N,2001,38.985667,-1.868500,terrestre,CARREFOUR,P,dm,N,3
135,CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA) 5,2001,39.054694,-1.832000,terrestre,BP ROMICA,P,OM,I,3
136,CALLE FEDERICO GARCIA LORCA 5,2001,38.997722,-1.846361,terrestre,CEPSA,R,dm,I,3
137,CALLE FEDERICO GARCIA LORCA 1,2001,39.000861,-1.849833,terrestre,PLENOIL,P,dm,D,3
138,AVENIDA MENÉNDEZ PIDAL 58,2005,39.003333,-1.864917,terrestre,TAMOS,P,dm,N,3
139,AVENIDA ESCRITOR RODRIGO RUBIO 3,2005,39.006889,-1.885361,terrestre,A&A,P,dm,D,3
140,CALLE CONSTANTINO ROMERO S/N,2005,39.005528,-1.884444,terrestre,PLENOIL,P,dm,D,3
141,PASEO CUBA (LA) 36,2005,39.005083,-1.859917,terrestre,CEPSA,P,OM,N,3
142,CL PASEO DE LA CUBA 15,2005,38.999722,-1.854556,terrestre,REPSOL,P,OM,D,3
143,CALLE HERMANOS FALCÓ 2,2002,38.989250,-1.849028,terrestre,CEPSA,P,dm,D,3
144,CALLE ALMANSA 2,2006,38.984139,-1.847083,terrestre,CEPSA,P,dm,I,3
145,CARRETERA JAEN KM. 2,2006,38.994667,-1.871722,terrestre,REPSOL,P,dm,D,3
146,CALLE ALCALDE CONANGLA (C.C. EROSKI) S/N,2006,38.988972,-1.847361,terrestre,FAMILY ENERGY,P,dm,N,3
147,AVDA. DE LOS TOREROS S/N,2006,38.998222,-1.869889,terrestre,INPEALSA,P,dm,N,3
148,CALLE CTRA. DE JAEN 79,2006,38.988111,-1.883694,terrestre,REPSOL,P,dm,I,3
149,CR N-322 3378,2006,38.925833,-2.031861,terrestre,REPSOL,P,dm,I,3
150,PG CAMPOLLANO-P. 2-CT S.N.,2006,39.012583,-1.874972,terrestre,REPSOL,P,OM,D,3
151,CR N-301 244,2006,39.027778,-1.892972,terrestre,REPSOL,P,OM,I,3
152,CARRETERA N-322 KM. 359,2006,39.033139,-1.845083,terrestre,REPSOL,P,OM,D,3
153,AVENIDA 1º DE MAYO S/N,2006,38.985194,-1.866806,terrestre,PETROCAMP,P,dm,N,3
154,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,2006,38.965639,-1.935500,terrestre,P347,P,dm,D,3
155,AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN) S/N,2006,38.982167,-1.853306,terrestre,INPEALSA,P,dm,N,3
156,CARRETERA NACIONAL 301 KM. 256,2099,38.929389,-1.831639,terrestre,INPEALSA,P,dm,D,3
157,CARRETERA N-322 KM. 349,2004,38.970167,-1.919778,terrestre,CEPSA,P,dm,D,3
158,AVENIDA PRINCIPE 2,2328,38.900944,-1.994028,terrestre,REPSOL,P,OM,D,4
159,CM. 3203 km 141,2140,38.867556,-1.920500,terrestre,LOZANO,P,dm,D,5
160,CTRA.AGUASNUEVAS KM 025,2099,38.870278,-1.922722,terrestre,CORYMAR,R,dm,D,5
161,AUTOVIA A-31 KM. 69,2007,39.031528,-1.891361,terrestre,REPSOL,P,OM,I,3
162,MADRID-CARTAGENA km 2485,2007,38.971722,-1.845278,terrestre,REPSOL. LOS ANGELES DE LA MANCHA S.L.,P,OM,D,3
163,MADRID-CARTAGENA km 2485,2007,38.971778,-1.845306,terrestre,REPSOL Nº ESTACIÓN 97179,P,OM,I,3
164,POLIGONO CAMPOLLANO AVENIDA -0- 69,2007,39.021972,-1.879639,terrestre,ABOIL,P,dm,D,3
165,POLIGONO CAMPOLLANO AVENIDA 1 0,2007,39.016389,-1.893944,terrestre,INPEALSA,P,dm,N,3
166,POLIGONO AVDA. 3ª ESQUINA C/AUTOVIA 69,2007,39.018000,-1.874333,terrestre,ENERCOM CARBURANTES,P,dm,D,3
167,CARRETERA C-M 332 KM. 26,2007,38.998111,-1.831611,terrestre,"INLOCOR S.L. ""CEPSA""",P,dm,D,3
168,SECTOR PARCELA T-3 LOCAL52 14,2007,39.009639,-1.878111,terrestre,ALCAMPO,P,dm,N,3
169,AVENIDA 3ª ESQUINA C/ F Nº3 3,2007,39.009417,-1.885694,terrestre,FAST & GAS,P,dm,N,3
170,POLIGONO CAMPOLLANO C/.F 13,2007,39.012472,-1.889417,terrestre,AVANZA OIL,P,dm,D,3
171,AVENIDA POLIGONO CAMPOLLANO AVENIDA 0 67,2007,39.021583,-1.886556,terrestre,VALERO 24H,P,dm,N,3
172,CALLE C/ AUTOVIA C/V AVD. SEXTA S/N,2007,39.029583,-1.888083,terrestre,NATURGY ES  GNV ALBACETE,P,dm,D,3
173,AVENIDA PRIMERA S/N,2007,39.022139,-1.882056,terrestre,GMOIL,P,dm,D,3
174,CALLE AUTOVIA SN,2007,39.029167,-1.888333,terrestre,LA GAVIOTA GASOLINERA 24 HORA,P,dm,N,3
175,CARRETERA DE LAS PEÑAS KM 0+238 KM. 0238,2080,38.970778,-1.873194,terrestre,AREA LOS LLANOS,P,dm,I,3
176,POLIGONO Nº 71 PARCELA 678 PARAJE HONDO DE LA MORENA S/N S/N,2080,38.969361,-1.823639,terrestre,CEPSA,P,dm,D,3
177,AUTOVIA A-30 KM. 2394,2080,39.059806,-1.933250,terrestre,CEPSA,P,OM,D,3
178,AUTOVIA A-30 KM. 2394,2080,39.060528,-1.933056,terrestre,CEPSA,P,OM,I,3
179,CM-3203 km 419,2124,38.646833,-1.978917,terrestre,CEPSA,P,dm,I,6
180,CARRETERA CM-3201 471 KM. 471,2210,39.203167,-1.433222,terrestre,EL JUCAR,P,dm,D,7
181,CARRETERA 322 KM. 302,2330,38.808528,-2.327639,terrestre,REPSOL,P,OM,I,8
182,CL AVDA. DE AYORA S.N. A,2640,38.874583,-1.100528,terrestre,REPSOL,P,OM,D,9
183,AVENIDA MADRID 11,2640,38.871556,-1.108000,terrestre,CEPSA,P,OM,N,9
184,AVENIDA CIRCUNVALACION 9,2640,38.879167,-1.098889,terrestre,CEPSA,P,OM,N,9
185,AVENIDA AYORA CON AVENIDA ADOLFO SUAREZ S/N,2640,38.878667,-1.100028,terrestre,PLENOIL,P,dm,D,9
186,AVENIDA INFANTE DON JUAN MANUEL 8,2640,38.874556,-1.102944,terrestre,QUALITY ALMANSA,P,dm,D,9
187,AVENIDA CIRCUNVALACION 26,2640,38.859944,-1.084750,terrestre,CEPSA,P,dm,N,9
188,AUTOVIA A-31 KM. 143350,2640,38.878278,-1.143722,terrestre,CEPSA,P,dm,I,9
189,AUTOVIA A-31 KM. 140,2640,38.875028,-1.175750,terrestre,SHELL,P,OM,D,9
190,CARRETERA N-430 BADAJOZ A VALENCIA KM. 594,2640,38.850278,-1.027694,terrestre,GASOLINERA LOW COST PENADES,P,dm,D,9
191,AVENIDA CIRCUNVALACION 17,2640,38.874083,-1.089278,terrestre,GASÓLEOS S. ALMANSA,P,dm,N,9
